area,fyear,arith_cpue,geo_cpue
5AB,1956,146.2324324,74.81209023
5AB,1960,245.5086207,191.1142867
5AB,1961,2.694444444,3.528207432
5AB,1962,60.63157895,10.16652458
5AB,1963,6.857142857,5.220726045
5AB,1964,169.2982456,184.9832679
5AB,1965,69.8028169,54.22730927
5AB,1966,257.3632316,102.9884687
5AB,1967,195.1757354,111.5418588
5AB,1968,149.9441484,86.49156574
5AB,1969,72.51260705,40.37061726
5AB,1970,49.05456315,27.4107445
5AB,1971,91.81769514,66.39726094
5AB,1972,203.5950685,115.7896124
5AB,1973,203.0952277,96.29067633
5AB,1974,269.4848847,147.0504322
5AB,1975,272.3097636,158.2790779
5AB,1976,253.1123938,145.1001872
5AB,1977,176.9044898,104.7913031
5AB,1978,279.2765405,148.514083
5AB,1979,297.2137414,174.5368594
5AB,1980,232.5261799,116.5141778
5AB,1981,183.046816,93.7330906
5AB,1982,131.5109004,72.15778471
5AB,1983,47.48767982,41.99796095
5AB,1984,85.63920829,58.04442087
5AB,1985,63.81891823,43.06022571
5AB,1986,50.65846379,28.44211666
5AB,1987,347.4455426,134.6883772
5AB,1988,222.8662892,96.18739887
5AB,1989,99.80374827,60.01239004
5AB,1990,87.19000103,40.41498178
5AB,1991,271.6165303,110.1143015
5AB,1992,255.0000001,113.5030103
5AB,1993,212.5711707,97.77166617
5AB,1994,116.65868,46.17728219
5AB,1995,59.65808753,25.20188703
5AB,1996,40.83815933,17.64984673
5AB,1997,38.91108297,15.24860483
5AB,1998,27.64894194,12.77429972
5AB,1999,27.31591919,11.64632982
5AB,2000,20.04081536,8.818918883
5AB,2001,32.34326369,10.6371413
5AB,2002,39.27180095,13.13567956
5AB,2003,62.16518864,19.01339218
5AB,2004,69.71303208,21.82530271
5AB,2005,63.81827736,24.95030784
5AB,2006,47.02925626,17.44459298
5AB,2007,21.54153732,10.0916571
5AB,2008,20.71975897,9.358349125
5AB,2009,50.63278357,16.90050893
5AB,2010,133.1100781,34.09984145
5AB,2011,121.647024,28.14796876
5AB,2012,72.50401222,19.51712446
5AB,2013,109.8076052,32.21112908
5AB,2014,113.233199,35.29411519
5AB,2015,119.6670969,45.13801089
5AB,2016,59.25942511,26.75501692
5AB,2017,49.26413486,17.96045051
5AB,2018,13.76997853,6.529913123
5CD,1956,374.861378,169.2880841
5CD,1957,354.6930975,246.1016037
5CD,1958,866.473784,540.8496018
5CD,1959,571.1738898,314.7584238
5CD,1960,328.1201629,160.7022413
5CD,1961,250.3900286,130.6011116
5CD,1962,288.5655702,159.4374365
5CD,1963,520.758878,273.048528
5CD,1964,950.3465203,557.3818358
5CD,1965,935.176126,605.2211227
5CD,1966,934.9572889,556.6614206
5CD,1967,696.6626527,351.9307118
5CD,1968,479.1921638,244.4876854
5CD,1969,302.8508501,141.6576265
5CD,1970,182.7078898,79.38543477
5CD,1971,204.9024437,89.33777152
5CD,1972,467.2571667,214.2478518
5CD,1973,784.1659609,298.4926852
5CD,1974,991.1672543,446.5397187
5CD,1975,690.7629727,321.4692718
5CD,1976,492.0786009,232.0683874
5CD,1977,385.3024843,169.8597324
5CD,1978,302.9009218,142.1987597
5CD,1979,458.921805,171.6402148
5CD,1980,438.5108623,195.585456
5CD,1981,347.3642895,167.7715608
5CD,1982,371.4750877,175.4565448
5CD,1983,523.6989388,227.2262176
5CD,1984,346.7565261,182.4253224
5CD,1985,217.276583,125.5860287
5CD,1986,609.8552169,236.0107733
5CD,1987,1131.806308,676.3690328
5CD,1988,739.3871827,293.5969133
5CD,1989,600.6652005,223.824328
5CD,1990,458.4337412,199.2868103
5CD,1991,645.9850575,284.6995272
5CD,1992,474.0779461,185.9476692
5CD,1993,404.4747382,188.5252754
5CD,1994,265.1089992,115.4128496
5CD,1995,220.9622951,109.143984
5CD,1996,145.9486421,45.00443719
5CD,1997,225.0966563,72.50005811
5CD,1998,185.0368538,52.43030903
5CD,1999,120.1198919,34.73766768
5CD,2000,131.8013473,45.68072642
5CD,2001,60.24695666,28.12231755
5CD,2002,85.23736207,34.11793179
5CD,2003,173.7084046,51.19878478
5CD,2004,224.3293854,75.48593074
5CD,2005,220.5559487,86.68671429
5CD,2006,274.3253557,92.6020417
5CD,2007,122.6111446,50.93794978
5CD,2008,155.6921274,64.90878785
5CD,2009,205.4868833,71.37625447
5CD,2010,464.573911,138.1629636
5CD,2011,278.0426329,101.9611281
5CD,2012,277.9798386,94.57380114
5CD,2013,246.3769872,93.49484602
5CD,2014,354.5349681,124.2905375
5CD,2015,374.1971876,132.2592709
5CD,2016,215.6397293,86.24785993
5CD,2017,127.4372012,55.28009007
