Year,3CD,5AB,5CDE,Total,Source
2018-19,500,250,700,1450,IFMP
2017-18,500,250,700,1450,IFMP
2016-17,500,200,700,1400,IFMP
2015-16,500,400,1200,2100,IFMP
2014-15,500,590,1200,2290,IFMP
2013-14,500,590,1200,2290,IFMP
2012-13,500,590,1200,2290,IFMP
2011-12,500,590,1200,2290,IFMP
2010-11,500,390,800,1690,IFMP
2009-10,500,390,800,1690,IFMP
2008-09,500,390,800,1690,IFMP
2007-08,500,390,800,1690,IFMP
2006-07,500,390,800,1690,IFMP
2005-06,500,390,800,1690,GMU Trawl TAC xls
2004-05,500,390,400,1290,GMU Trawl TAC xls
2003-04,500,260,400,1160,GMU Trawl TAC xls
2002-03,240,260,200,700,GMU Trawl TAC xls
2001-02,694,260,200,1154,GMU Trawl TAC xls
2000-01,694,260,1000,1954,GMU Trawl TAC xls
1999-00,694,260,1000,1954,GMU Trawl TAC xls
1998-99,694,260,1000,1954,GMU Trawl TAC xls
1997-98,694,260,1620,2574,GMU Trawl TAC xls
1996-97,bycatch only,bycatch only,bycatch only,0,CSAS ResDoc 2015/052
